Type,SKU,Name,Published,Short_Description,Description,Tax_status,Regular_Price,Sale_Price,Categories,Images,wcpv_product_vendors
simple,JW-108-DC-01-PA,Paparazzi Throw Pillow,1,"<p>Featured at JW Marriott Los Angeles L.A. Live</p>
<p>Two-sided print</p>
<p>Synthetic cover and insert</p>
<p>Concealed zipper closure</p>
<p>24""x 14""</p>","<headline>A little piece of Hollywood glamour and excitement right at home.</headline><details>An ode to Hollywood, the Paparazzi Pillow from JW Marriott Los Angeles L.A. Live adds California glamour to any decor. This exclusive hotel throw pillow brings the art of photography and the rush of the limelight home.</details>",taxable,160,120,Pillows                       ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-Paparazzi-Throw-Pillow-JW-108-DC-01-PA_lrg.jpg,JW
simple,JW-108-DC-03-GY,Velvet Throw Pillow,1,"<p>A JW Marriott Exclusive</p>
<p>Featured at JW Marriott Essex House New York</p>
<p>Light blue silk blend cover with velvet cutout patterns</p>
<p>75% goose feather/25% goose down insert</p>
<p>Concealed zipper closure</p>
<p>Made in the USA</p>
<p>18"" x 18""</p>","<headline>A subtle accessory with just enough distinctiveness.</headline>
<details>The Velvet Throw Pillow offers minimalistic elegance with its understated blue hue and soft velvet cutout pattern. Exclusive to JW Marriott Essex House, our hotel throw pillow is a plush enhancement to any space.</details>",taxable,190,142.5,Pillows                       ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-velvet-throw-pillow-JW-108-DC-03-GY_lrg.jpg,JW
simple,JW-108-DC-04-SI,Silk Throw Pillow,1,"<p>A JW Marriott Exclusive</p>
<p>Featured at JW Marriott Essex House New York</p>
<p>Light blue silk blend cover with stripe patterns</p>
<p>75% goose feather/25% goose down insert</p>
<p>Concealed zipper closure</p>
<p>Made in the USA</p>
<p>18"" x 18""</p>","<headline>A bit of sheen crafted with a whole lot of comfort.</headline>
<details>Inspire your space with the stunning silk blend of our Silk Throw Pillow. Tailored exclusively for JW Marriott Essex House, our decorative pillow is adorned with a unique stripe pattern making it the perfect accent to your bed, sofa or chair.</details>",taxable,190,142.5,Pillows                       ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-silk-throw-pillow-JW-108-DC-04-SI_lrg.jpg,JW
simple,JW-108-E,Euro Pillow,1,"<p>Synthetic fiber fill</p>
<p>100% cotton cover</p>
<p>Allergen-free</p>
<p>Machine washable</p>
<p>26"" x 26""</p>",<headline>A modern and chic addition to any bedscape.</headline><details>Add the JW Marriott Euro Pillow for a modern and chic silhouette to your JW Bed. This plump Euro square pillow fits perfectly inside all of our exclusively designed Euro shams.</details>,taxable,49,36.75,Pillows                       ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-euro-pillow-jw-108-e_lrg.jpg,JW
simple,JW-110-BT,Bath Towel,1,"<p>A JW Marriott Hotels Exclusive</p>
<p>Cotton blend</p>
<p>Diagonal pattern trim</p>
<p>Machine washable</p>
<p>30"" x 56""</p>",<headline>Add JW comforts to your daily ritual and emerge renewed.</headline><details>Cover yourself in the soft embrace of the JW Marriott Bath Towel. Woven diagonal-pattern edges add a demure detail to this bathing hotel essential.</details>,taxable,30,22.5,Towels                        ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-bath-towel-jw-110-bt_lrg.jpg,JW
simple,JW-110-FT,Washcloth,1,"<p>A JW Marriott Hotels Exclusive</p>
<p>Cotton blend</p>
<p>Diagonal pattern trim</p>
<p>Machine washable</p>
<p>13"" x 13""</p>","<headline>Gentle and plush, your skin deserves the luxurious JW treatment.</headline><details>The JW Marriott Washcloth is a soft, plush indulgence. Enjoy this classic bathside necessity in your own home with a woven diagonal-pattern edge that adds a custom touch.</details>",taxable,6,4.5,Towels                        ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-washcloth-jw-110-ft_lrg.jpg,JW
simple,JW-110-HT,Hand Towel,1,"<p>A JW Marriott Hotels Exclusive</p>
<p>Cotton blend</p>
<p>Diagonal pattern trim</p>
<p>Machine washable</p>
<p>16"" x 30""</p>
",<headline>Treat your hands to the softest touch with our classic staple.</headline><details>Treat your hands to the welcoming touch and unmatched plushness of the JW Marriott Hand Towel. The woven diagonal-pattern edges add a signature flair to your bath decor.</details>,taxable,14,10.5,Towels                        ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-hand-towel-jw-110-ht_lrg.jpg,JW
simple,JW-110-SET,Towel Set,1,"<p>A JW Marriott Hotels Exclusive</p>
<p>Cotton blend</p>
<p>Diagonal pattern trim</p>
<p>Machine washable</p>
<p>Includes:</p>
<ul class=""list"">
<li>2 bath towels (30"" x 56"")</li>
<li>2 hand towels (16"" x 30"")</li>
<li>2 washcloths (13"" x 13"")</li>
</ul>",<headline>Your bath experience won’t be complete without this ensemble.</headline><details>The JW Marriott Towel Set is pleasantly soft and absorbent. Now you can savor the JW Marriott deep-pile bath linens in the comfort of your own bath. Woven diagonal-pattern edges add a touch of hotel luxury.</details>,taxable,100,75,Towels                        ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-towel-set-jw-110-set_lrg.jpg,JW
simple,JW-171-04-NV,Houndstooth Throw,1,"<p>Designed by Fraas</p>
<p>100% Brushed Acrylic</p>
<p>Distressed Navy Houndstooth Pattern</p>
<p>Hand Wash Cold</p>
<p>150"" x 180""</p>","<headline>Add a layer of timeless style to your bed.</headline>
<details>Dress your bed in classic, timeless style with the Houndstooth Throw. Soft and smooth to the touch, our seamlessly crafted throw blanket adds a layer of warm comfort to your bedtime routine and everyday lounging. Instantly elevate your bed ensemble with the sophiticated distressed houndstooth pattern and rich navy hue.</details>",taxable,195,146.25,throws                        ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-houndstooth-throw-JW-171-04-NV_lrg.jpg,JW
simple,JW-300-BS-01-01-2-SET5,Lavender Body Bars,1,<p>Exclusively for JW Marriott by Aromatherapy Associates</p>  <p>Features notes of lavender & ylang ylang</p>  <p>Set of 5</p>  <p>1.75 oz. each</p>,"<headline>Enrich your next bath with aromas of lavender and bitter orange.</headline><details>Lather up your body with our Lavender Body Bar. It's a JW Marriott exclusive made with Lavender, Ylang Ylang, Cinnamomum and Bitter Orange. Comes in a set of five.</details>",taxable,14,10.5,BathBody                      ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-lavender-body-bar-jw-300ss-b_lrg.jpg,JW
simple,JW-300-FS-01-01-2-SET5,Lavender Facial Bars,1,<p>Exclusively for JW Marriott by Aromatherapy Associates</p>  <p>Features notes of lavender & ylang ylang</p>  <p>Set of 5</p>  <p>1.05 oz. each</p>,"<headline>Create refreshing moments, wash after wash.</headline><details>Refresh your senses with the JW Marriott Lavender Facial Bar. A JW Marriott hotel exclusive made with Lavender, Ylang Ylang, Cinnamomum and Bitter Orange. Enjoy in a set of five.</details>",taxable,14,10.5,BathBody                      ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-lavender-facial-bar-jw-300ss-f_lrg.jpg,JW
simple,JW-301-AA-10,Ylang Ylang Body Wash,1,"<p>Exclusively for JW Marriott by Aromatherapy Associates</p>  <p>Features notes of ylang ylang, lavender, bitter orange, patchouli & vetiver</p>  <p>10 oz.</p>","<headline>A natural and refreshing addition to your shower routine.</headline><details>Lather your skin with the JW Marriott Ylang Ylang Body Wash. It's a naturally refreshing experience that leaves skin hydrated, fresh and smooth.</details>",taxable,39,29.25,BathBody                      ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-lavender-body-wash-jw-301-aa-10_lrg.jpg,JW
simple,JW-302-AA-10,Ylang Ylang Body Lotion,1,"<p>Exclusively for JW Marriott by Aromatherapy Associates</p>  <p>Features notes of ylang ylang, tuberose, vanilla, geranium, patchouli & bitter orange</p>  <p>10 oz.</p>","<headline>A feast of moisture to leave your skin feeling soft and supple.</headline><details>The JW Marriott Ylang Ylang Body Lotion is a treat for your skin and a hotel guest favorite. It will leave your body feeling soft and smooth, with an added subtle vanilla scent.</details>",taxable,39,29.25,BathBody                      ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-lavender-body-lotion-jw-302-aa-10_lrg.jpg,JW
simple,JW-303-AA-10,Ylang Ylang Shampoo,1,"<p>Exclusively for JW Marriott by Aromatherapy Associates</p>  <p>Features notes of ylang ylang, geranium, patchouli & rosemary</p>  <p>10 oz.</p>","<headline>Revitalize your locks daily with ylang ylang and geranium.</headline><details>Refresh your hair with the JW Marriott Ylang Ylang Shampoo, a hotel guest favorite. After one use, your hair will feel clean, rejuvenated, and like new.</details>",taxable,28,21,BathBody                      ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-rosemary-shampoo-jw-303-aa-10_lrg.jpg,JW
simple,JW-304-AA-10,Ylang Ylang Conditioner,1,"<p>Exclusively for JW Marriott by Aromatherapy Associates</p>  <p>Features notes of ylang ylang, geranium, patchouli & rosemary</p>  <p>10 oz.</p>","<headline>A must-have for a silky, soft and smooth finish.</headline><details>Follow up your shampoo routine with the JW Marriott Ylang Ylang Conditioner. A hotel guest favorite, this conditioner is sure to leave your hair silky soft and smooth.</details>",taxable,28,21,BathBody                      ,https://curatedbyjw.com/images/products/v2/lrg/curatedbyjw-rosemary-conditioner-jw-304-aa-10_lrg.jpg,JW
